# .test .cputime .temperature .time_mat1 .time_mat2
151 0.134751  1.948 0.000691 0.000863
152 0.135542  2.435 0.000767 0.000835
153 0.136862  2.922 0.000711 0.000901
154 0.138051  2.922 0.000742 0.000912
155 0.138463  1.461 0.000727 0.000919
156 0.139154  2.922 0.000761 0.000880
157 0.140268  2.435 0.000747 0.000941
158 0.140854  2.435 0.000780 0.000906
159 0.141894  2.435 0.000766 0.000916
160 0.142474  2.435 0.000800 0.000926
161 0.143521  2.922 0.000833 0.000937
162 0.143933  2.435 0.000816 0.000949
163 0.144636  3.409 0.000820 0.000961
164 0.145552  2.922 0.000888 0.000974
165 0.146498  3.409 0.000838 0.000985
166 0.146846  3.896 0.000855 0.000997
167 0.147641  2.435 0.000916 0.001009
168 0.148609  1.948 0.000874 0.001075
169 0.150098  1.461 0.000879 0.001089
170 0.150233  2.435 0.000941 0.001047
171 0.151182  3.409 0.000902 0.001059
172 0.151542  3.896 0.000916 0.001127
173 0.152613  2.435 0.000921 0.001086
174 0.153370  2.922 0.000933 0.001096
175 0.154198  2.435 0.000949 0.001108
176 0.155038  3.896 0.000993 0.001125
177 0.156113  2.435 0.000970 0.001134
178 0.156830  3.409 0.000975 0.001148
179 0.157742  2.922 0.000992 0.001163
180 0.158478  2.922 0.000998 0.001213
181 0.159324  3.409 0.001056 0.001186
182 0.159659  2.922 0.001017 0.001201
183 0.160144  2.922 0.001034 0.001216
184 0.160929  2.435 0.001081 0.001231
185 0.162440  2.922 0.001056 0.001245
186 0.162711  2.922 0.001048 0.001298
187 0.163767  2.435 0.001088 0.001271
188 0.164955  2.922 0.001108 0.001284
189 0.165826  2.922 0.001110 0.001303
190 0.165688  2.435 0.001095 0.001317
191 0.167226  2.922 0.001132 0.001375
192 0.167874  3.409 0.001120 0.001346
193 0.169029  2.922 0.001152 0.001360
194 0.168967  3.409 0.001142 0.001378
195 0.170464  2.922 0.001180 0.001440
196 0.171170  1.948 0.001206 0.001413
197 0.172650  3.896 0.001252 0.001425
198 0.172622  2.435 0.001244 0.001453
199 0.173980  3.896 0.001276 0.001463
200 0.174313  2.922 0.001218 0.001470
201 0.175511  1.948 0.001298 0.001482
202 0.175937  3.896 0.001240 0.001547
203 0.177166  2.922 0.001276 0.001560
204 0.177601  2.922 0.001306 0.001535
205 0.178893  3.409 0.001301 0.001600
206 0.179140  3.409 0.001331 0.001567
207 0.180102  4.870 0.001373 0.001591
208 0.181317  3.409 0.001356 0.001604
209 0.182601  3.896 0.001352 0.001662
210 0.182293  3.409 0.001338 0.001638
211 0.183537  3.896 0.001380 0.001715
212 0.184478  3.409 0.001366 0.001725
213 0.185825  3.896 0.001401 0.001731
214 0.186191  3.409 0.001411 0.001700
215 0.187061  3.896 0.001430 0.001763
216 0.187773  3.896 0.001433 0.001833
217 0.188589  3.409 0.001456 0.001832
218 0.189518  4.383 0.001519 0.001784
219 0.190500  2.922 0.001480 0.001848
220 0.190956  3.409 0.001530 0.001808
221 0.191797  3.409 0.001565 0.001830
222 0.191972  3.409 0.001516 0.001893
223 0.194418  2.922 0.001540 0.001867
224 0.194798  4.870 0.001594 0.001880
225 0.195701  2.922 0.001561 0.001957
226 0.196570  3.409 0.001632 0.001927
