844	848	848	848	848	848	847	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	849	849	849	849	849	849	850	849	850	850	850	849	849	850	849	850	849	849	849	849	849	849	849	849	849	849	849	848	848	848	848	848	848	848	848	848	848	847	848	848	848	848	848	848	848	848	848	848	847	848	848	848	848	848	847	848	848	848	848	847	847	848	848	848	847	847	847	848	847	848	847	846	847	847	847	847	847	846	846	846	846	846	846	846	846	846	846	847	846	846	846	847	847	847	846	847	847	847	847
846	847	847	847	847	847	847	847	849	848	847	848	848	848	849	848	848	848	847	848	848	848	848	849	848	848	848	848	849	848	848	849	849	848	848	848	849	848	848	848	848	848	849	848	848	848	849	849	848	849	849	849	849	849	849	849	850	850	850	849	849	849	849	849	849	849	849	849	850	849	849	848	849	848	848	849	848	848	848	848	848	848	849	849	848	848	848	848	848	848	848	848	848	848	848	847	848	848	847	848	848	848	847	848	847	848	848	848	847	848	848	848	848	848	848	848	848	847	847	847	847	847	846	847	847	847	847	847	833	826	826	826	826	846
826	826	826	826	831	826	846	846	845	846	846	846	847	847	846	846	847	847	846	847	846	846	846	846	845	846	845	846	846	846	845	845	845	845	845	845	845	845	845	845	844	845	845	844	844	844	843	824	824	824	824	824	825	825	832	825	825	825	844	844	845	846	845	845	844	846	845	846	845	846	846	845	845	845	831	826	826	826	826	828	828	828	828	828	828	847	846	846	846	846	846	846	845	845	844	845	845	845	844	845	845	844	844	844	825	825	825	825	825	825	825	825	824	825	824	842	842	842	842	842	842	842	842	844	843	844	844	845	844	845	845	844	844	845
826	826	826	826	826	826	826	826	826	826	826	846	846	846	846	846	847	847	846	847	846	846	846	845	846	846	845	844	845	846	830	845	845	826	826	826	825	844	826	845	844	845	826	825	825	825	825	842	842	843	842	842	842	842	843	842	842	842	842	844	825	825	826	825	825	824	826	825	826	826	826	845	846	846	845	846	846	846	845	845	845	846	846	846	847	847	847	847	847	846	828	828	828	828	826	826	825	826	825	825	825	844	845	844	844	845	844	844	845	845	840	846	828	846	845	845	826	845	845	845	845	845	845	845	845	844	845	844	842	842	842	843	842	842
842	842	842	843	842	843	843	844	844	844	843	843	843	844	845	845	845	845	846	845	845	845	846	845	846	846	846	846	845	845	846	846	846	845	846	847	847	847	847	847	846	846	847	847	846	846	846	846	846	846	846	845	845	845	846	845	844	845	845	845	845	844	845	845	845	844	843	843	844	842	843	842	842	842	842	843	843	843	843	843	844	845	845	845	845	845	844	845	845	845	845	846	846	846	846	846	846	845	846	845	846	846	846	846	846	847	846	847	847	847	847	847	846	846	847	846	846	845	845	845	845	846	845	845	845	845	845	845	845	845	845	843	845	845
845	845	844	845	845	842	843	842	842	842	842	843	843	843	843	843	843	844	843	844	844	845	845	845	844	846	845	846	846	846	845	845	846	845	845	846	846	846	846	845	846	845	847	847	847	847	847	847	847	846	846	846	846	846	845	845	846	845	845	846	845	846	845	845	844	844	844	844	844	844	845	844	844	845	844	843	843	843	842	842	842	842	842	842	843	843	843	842	843	844	845	844	845	844	845	844	844	845
844	846	826	847	846	846	828	846	847	846	846	845	846	846	846	845	845	845	844	845	832	844	844	844	844	843	843	843	844	843	834	843	842	842	843	842	842	842	842	843	843	844	843	843	844	844	845	843	845	844	845	845	845	845	846	845	846	846	846	846	845	846	845	846	846	845	846	846	847	847	846	846	847	847	847	847	847	846	846	846	846	845	845	846	845	845	845	845	846	845	845	845	845	845	844	845	844	844	844	844	843	843	842	843	842	842	842	842	842	843	843	843	843	844	844	843	844	844	845	844	845	844	845	845	846	846	846	845	845	845	846	845	845	846
845	845	846	846	846	846	847	847	847	847	847	846	846	847	847	846	846	845	846	847	846	846	845	845	845	845	844	845	844	845	844	844	844	844	845	845	845	845	843	843	844	842	843	842	842	842	842	843	843	844	844	844	844	843	845	845	844	846	845	845	845	844	845	846	845	845	846	846	846	845	846	845	845	845	846	845	846	846	847	847	847	847	847	847	846	847	846	846	846	845	845	845	845	845	845	845	845	845	844	845	844	845	844	844	845	844	843	845	844	845	843	843	842	843	842	842	842	843	842	843	844	843
835	844	844	844	842	842	843	842	842	842	842	842	842	842	842	842	843	843	843	844	845	843	844	844	844	845	844	846	844	846	845	846	845	846	846	846	846	845	845	846	846	846	837	846	828	847	828	846	846	846	845	845	845	846	845	845	845	844	845	845	845	844	844	844	844	845	845	845	845	844	844	844	843	843	843	842	842	843	843	842	843	843	843	843	844	844	844	846	843	844	845	844	845	845	845	845	846	845	846	846	846	846	845	846	846	847	847	846	847	847	847	846	846	846	845	844	845	845	845	845	845	844	845	845	844	844	845	845	845	845	844	844	844	844
844	843	842	843	842	843	842	842	843	843	842	843	843	843	844	845	845	844	844	844	845	845	845	845	845	845	845	845	846	845	846	845	846	845	846	845	846	846	846	846	847	847	847	847	847	847	846	846	846	847	846	845	845	846	846	846	847	845	842	845	845	844	845	846	844	845	844	844	844	845	844	844	843	843	843	842	842	843	842	842	843	843	843	843	843	843	844	844	845	844	845	846	844	845	845	845	846	845	845	846	845	846	845	846	846	845	846	845	846	845	846	846	847	847	847	847	847	847	846	846	846	846
